"V1","V2","V3","V4","V5","V6","V7","V8","V9"
0.0719,0.3373,0.6609,0.9205,0.8823,0.8179,0.0891,0.7141,0.5725
0.5021,0.9605,0.6771,0.9097,0.2487,0.2595,0.2969,0.6787,0.2549
0.2001,0.3355,0.4301,0.7315,0.9419,0.1369,0.5563,0.1089,0.8139
0.3075,0.6017,0.8785,0.3123,0.3053,0.3323,0.8859,0.4801,0.1955
0.6921,0.7541,0.4141,0.2481,0.1333,0.1409,0.1005,0.3189,0.6301
0.9613,0.7433,0.9691,0.5547,0.3351,0.6775,0.4343,0.7117,0.6097
0.3027,0.0289,0.0073,0.9069,0.0779,0.4541,0.8989,0.7855,0.4947
0.2843,0.2129,0.5995,0.0595,0.8043,0.0055,0.7531,0.1677,0.5201
0.8395,0.9053,0.5857,0.1491,0.1023,0.2143,0.5189,0.8901,0.5193
0.0993,0.1183,0.2697,0.2955,0.0471,0.0383,0.3645,0.7751,0.0877
0.1975,0.8407,0.6397,0.8891,0.3255,0.3259,0.6557,0.3523,0.9523
0.0221,0.2439,0.9149,0.6831,0.7225,0.2105,0.2621,0.8413,0.3611
0.5307,0.2193,0.9133,0.7287,0.3749,0.9065,0.2101,0.0227,0.4201
0.8957,0.6629,0.2395,0.7773,0.1173,0.7695,0.3975,0.1363,0.2469
0.8703,0.5955,0.7541,0.3851,0.7121,0.8091,0.3641,0.4923,0.6077
0.1267,0.4601,0.2763,0.7615,0.2901,0.0565,0.5411,0.6519,0.9847
0.9627,0.0975,0.4665,0.9879,0.7679,0.2989,0.3557,0.3967,0.3245
0.4711,0.3341,0.3255,0.0599,0.4277,0.9845,0.4037,0.3747,0.4641
0.2479,0.8715,0.9753,0.1387,0.6055,0.7235,0.4315,0.2881,5e-04
0.8893,0.1625,0.8797,0.3461,0.7819,0.1659,0.9609,0.8955,0.1329
0.0423,0.5831,0.8547,0.1707,0.1989,0.1387,0.6255,0.9739,0.1151
0.9871,0.4579,0.8271,0.8395,0.5999,0.0853,0.0175,0.0823,0.8489
0.6735,0.7323,0.8427,0.6657,0.4499,0.1465,0.9617,0.4497,0.3495
0.1851,0.6573,0.2757,0.4289,0.3443,0.0945,0.7209,0.1207,0.7345
0.7913,0.6669,0.7979,0.0529,0.1013,0.2091,0.6865,0.3057,0.4133
0.9059,0.2569,0.1489,0.7201,0.9611,0.5281,0.0767,0.4291,0.3173
0.1509,0.2805,0.4391,0.0039,0.0221,0.2573,0.3627,0.5919,0.2677
0.6405,0.9847,0.5973,0.1909,0.0399,0.2991,0.4691,0.2401,0.2123
0.1207,0.8675,0.1685,0.4907,0.9319,0.2835,0.5607,0.1527,0.0597
0.7271,0.4847,0.5149,0.3291,0.2733,0.5833,0.7293,0.8953,0.3867
0.9307,0.2947,0.5087,0.9507,0.2419,0.0885,0.0451,0.3241,0.5083
0.7485,0.7929,0.1429,0.0449,0.2821,0.9361,0.1149,0.8115,0.7685
0.5127,0.5141,0.8693,0.7689,0.6625,0.8599,0.3993,0.9047,0.5929
0.1545,0.4591,0.5043,0.4159,0.3915,0.2895,0.0825,0.0425,0.8811
0.6357,0.3851,0.9695,0.4371,0.7277,0.0613,0.6907,0.2067,0.2693
0.8287,0.6663,0.0921,0.7035,0.6157,0.5143,0.4473,0.6387,0.4017
0.4155,0.0603,0.1725,0.6477,0.3119,0.9779,0.8475,0.1367,0.0513
0.4945,0.1419,0.3097,0.5339,0.8753,0.5837,0.9571,0.2029,0.1289
0.8329,0.7843,0.8753,0.5051,0.8333,0.6917,0.9765,0.7023,0.2427
0.2837,0.3079,0.7425,0.8381,0.6913,0.6905,0.0345,0.9295,0.5145
0.7179,0.9487,0.9269,0.5545,0.5947,0.8927,0.8837,0.3141,0.5451
0.4895,0.2087,0.6733,0.4207,0.4271,0.2859,0.4213,0.9213,0.0489
0.6491,0.2985,0.8761,0.2645,0.7355,0.4133,0.6671,0.1249,0.3521
0.7031,0.4255,0.6731,0.8535,0.2779,0.9715,0.6555,0.8453,0.5855
0.2963,0.6873,0.7643,0.3101,0.4487,0.9383,0.1125,0.1181,0.0889
0.9879,0.0277,0.1523,0.6829,0.1417,0.2199,0.1889,0.5045,0.9111
0.0669,0.0993,0.0859,0.8851,0.1015,0.3803,0.5325,0.0207,0.9769
0.3491,0.4993,0.9027,0.4367,0.9031,0.3069,0.7671,0.6975,0.3469
0.1639,0.1237,0.1403,0.3393,0.2635,0.6127,0.9661,0.1815,0.8805
0.6191,0.8215,0.5025,0.1611,0.8943,0.0423,0.0867,0.2749,0.7959
0.1043,0.3957,0.0103,0.4595,0.8519,0.9457,0.0221,0.6901,0.2859
0.7887,0.6123,0.3699,0.4483,0.3743,0.2697,0.3281,0.6511,0.4985
0.1847,0.2833,0.7669,0.8697,0.8401,0.4933,0.7947,0.1723,0.2089
0.9653,0.6243,0.2095,0.3549,0.0147,0.3609,0.0651,0.9027,0.2599
0.0833,0.1231,0.8041,0.5997,0.0687,0.0193,0.5003,0.3055,0.7459
0.5025,0.2711,0.0605,0.1045,0.4987,0.7495,0.4193,0.4249,0.5571
0.6031,0.1083,0.3275,0.2277,0.1441,0.1495,0.2085,0.5657,0.2117
0.9997,0.8001,0.1055,0.4623,0.6155,0.4709,0.8625,0.2085,0.6999
0.0253,0.2787,0.1591,0.8465,0.8533,0.5269,0.8971,0.6109,0.0507
0.0909,0.5459,0.5383,0.3181,0.5843,0.6603,0.7005,0.5743,0.3117
0.8713,0.8313,0.3407,0.3539,0.5699,0.4523,0.8017,0.7193,0.0685
0.1059,0.1081,0.2987,0.9589,0.3987,0.3267,0.6657,0.6475,0.6693
0.6409,0.5127,0.7043,0.2093,0.3213,0.6467,0.7401,0.3015,0.1405
0.7671,0.3661,0.8321,0.6127,0.0517,0.8919,0.4611,0.1033,0.5791
0.5505,0.9129,0.7101,0.3493,0.3085,0.7261,0.1045,0.8367,0.8203
0.7089,0.1965,0.5849,0.3113,0.3413,0.6011,0.6867,0.8525,0.1025
0.5385,0.9655,0.8385,0.8449,0.4085,0.2273,0.1221,0.2249,0.8597
0.3609,0.5669,0.3677,0.0473,0.0427,0.9133,0.4253,0.3229,0.4709
0.1783,0.0511,0.0327,0.2625,0.2819,0.0549,0.9411,0.7729,0.5175
0.3137,0.6553,0.4809,0.8759,0.4779,0.3923,0.8707,0.8711,0.4501
0.5065,0.0733,0.4027,0.3599,0.8563,0.1029,0.9477,0.1835,0.4089
0.6913,0.9223,0.2699,0.5277,0.8407,0.6335,0.2545,0.2809,0.5583
0.0123,0.1721,0.6191,0.5971,0.4981,0.9285,0.0737,0.9853,0.0393
0.6311,0.9141,0.7957,0.8075,0.4939,0.9423,0.8563,0.8825,0.7231
0.8575,0.4571,0.5307,0.0947,0.5137,0.4519,0.1947,0.3185,0.9929
0.8627,0.5973,0.2419,0.6907,0.9743,0.5305,0.6263,0.8241,0.7297
0.0149,0.7029,0.1065,0.1873,0.4945,0.3181,0.5153,0.8369,0.7137
0.7233,0.7283,0.6969,0.6665,0.7685,0.9053,0.7559,0.8409,0.0899
0.0487,0.7935,0.7953,0.9795,0.4059,0.8869,0.4833,0.7981,0.5825
0.2997,0.8795,0.3323,0.9935,0.6571,0.0167,0.0379,0.5771,0.3893
0.0129,0.0369,0.3429,0.4763,0.5575,0.7559,0.3431,0.9131,0.7821
0.5493,0.8031,0.7581,0.9601,0.0319,0.1609,0.1367,0.5907,0.2707
0.2579,0.8995,0.4147,0.8937,0.9471,0.3479,0.5589,0.1641,0.3517
0.1427,0.6989,0.9487,0.3619,0.3427,0.0079,0.2725,0.1069,0.5541
0.9117,0.9431,0.2301,0.8629,0.4175,0.6371,0.6575,0.2223,0.2433
0.2717,0.2945,0.7033,0.8427,0.8979,0.4659,0.3195,0.9255,0.7077
0.6173,0.6545,0.6639,0.0933,0.9751,0.3525,0.7787,0.7455,0.4733
0.2929,0.6213,0.3333,0.9209,0.4555,0.1229,0.3663,0.8659,0.0327
0.2361,0.8759,0.5899,0.3163,0.7655,0.8587,0.0155,0.4773,0.9931
0.2705,0.3981,0.0401,0.8713,0.7331,0.4227,0.0455,0.1785,0.6445
0.5171,0.3477,0.9191,0.0727,0.2545,0.8671,0.7653,0.8389,0.3221
0.9655,0.0217,0.5331,0.0423,0.4661,0.9157,0.7657,0.6917,0.7293
0.9907,0.5965,0.3809,0.2739,0.3495,0.7185,0.1681,0.3081,0.6575
0.3037,0.1067,0.2389,0.7171,0.8251,0.1171,0.7815,0.8507,0.9185
0.5165,0.7589,0.9091,0.8641,0.7853,0.9583,0.4529,0.7165,0.2605
0.7159,0.8861,0.0837,0.8677,0.4191,0.1099,0.4931,0.9013,0.9589
0.9685,0.6997,0.4739,0.2295,0.7939,0.6453,0.2405,0.5637,0.5379
0.4221,0.2859,0.5371,0.7787,0.2393,0.3103,0.4843,0.9479,0.8511
0.6055,0.9311,0.7901,0.0337,0.1561,0.8237,0.4971,0.0755,0.2565
0.0397,0.6711,0.2643,0.0255,0.5543,0.4415,0.9587,0.5507,0.1787
0.0459,0.6405,0.6165,0.2809,0.4313,0.1785,0.7457,0.1865,0.2821
0.7055,0.9591,0.7709,0.0841,0.1641,0.0959,0.2195,0.7355,0.0217
0.8473,0.9525,0.3363,0.0311,0.0789,0.9607,0.3841,0.0863,0.7497
0.0401,0.1661,0.1527,0.7541,0.9845,0.5999,0.1707,0.9315,0.7477
0.2527,0.9955,0.4483,0.4699,0.1485,0.2447,0.1365,0.7541,0.5605
0.3011,0.8597,0.7747,0.9783,0.9869,0.8571,0.5243,0.2721,0.3693
0.6889,0.5011,0.7207,0.9779,0.9465,0.2645,0.9323,0.9509,0.4039
0.7641,0.4687,0.9057,0.1331,0.9185,0.7937,0.9945,0.8803,0.1989
0.0689,0.7529,0.4863,0.5825,0.9787,0.9497,0.3453,0.1399,0.7329
0.5335,0.9341,0.3523,0.8871,0.3977,0.5677,0.1201,0.2667,0.0835
0.2589,0.8257,0.0437,0.9425,0.8421,0.8063,0.2873,0.6157,0.3589
0.6719,0.0043,0.5917,0.4721,0.3909,0.1999,0.2949,0.2939,0.6219
0.5721,0.4407,0.1165,0.7107,0.1683,0.9317,0.2221,0.0929,0.2571
0.8839,0.1141,0.3491,0.8659,0.8821,0.8541,0.5677,0.2573,0.6365
0.0407,0.8403,0.7493,0.1147,0.8867,0.3973,0.7359,0.3571,0.8797
0.2815,0.3245,0.6149,0.1475,0.5181,0.3665,0.5869,0.9413,0.4685
0.9883,0.0917,0.2713,0.7121,0.4839,0.9699,0.7099,0.2529,0.8197
0.7529,0.3865,0.5547,0.7239,0.7391,0.3817,0.3593,0.2455,0.4557
0.4201,0.3819,0.9121,0.6315,0.9647,0.7571,0.5239,0.8057,0.9247
0.5465,0.5295,0.9941,0.5947,0.5251,0.0179,0.4245,0.5329,0.8895
0.2177,0.5253,0.5439,0.3485,0.2849,0.4883,0.6249,0.1445,0.1927
0.9575,0.0055,0.1197,0.7765,0.1139,0.3981,0.8013,0.5493,0.6721
0.6435,0.9201,0.1829,0.6115,0.3031,0.1595,0.0421,0.0623,0.9487
0.6727,0.1717,0.3631,0.7567,0.5501,0.2823,0.4803,0.7307,0.6183
0.6345,0.8815,0.0415,0.2961,0.3151,0.7113,0.0191,0.7267,0.9195
0.5809,0.2103,0.7159,0.9059,0.7519,0.7093,0.3213,0.1215,0.4583
0.6865,0.7345,0.0407,0.3817,0.7197,0.5321,0.2373,0.4427,0.8063
0.4315,0.5731,0.1913,0.1205,0.0241,0.3901,0.5055,0.1619,0.2709
0.2729,0.7617,0.6169,0.0665,0.8789,0.1499,0.7779,0.3257,0.7807
0.1179,0.5067,0.5113,0.9319,0.7239,0.4223,0.1275,0.3305,0.5503
0.9793,0.9629,0.9907,0.7819,0.3559,0.7417,0.0395,0.7287,0.6141
0.9365,0.8783,0.6349,0.5703,0.5785,0.6107,0.9957,0.1795,0.2459
0.5677,0.7013,0.4467,0.9339,0.7541,0.9721,0.9415,0.0675,0.3775
0.8265,0.1611,0.0991,0.9235,0.6783,0.5153,0.3069,0.9453,0.3515
0.3407,0.8775,0.0683,0.1347,0.0923,0.6049,0.6391,0.7711,0.3093
0.7225,0.0729,0.5951,0.4571,0.5145,0.5221,0.1647,0.6853,0.1043
0.0663,0.6197,0.1855,0.2857,0.0487,0.2995,0.4059,0.6647,0.1005
0.0027,0.8179,0.4857,0.3729,0.1803,0.8133,0.1813,0.5227,0.2933
0.3941,0.5371,0.2011,0.9717,0.6737,0.9857,0.8069,0.0357,0.0223
0.4471,0.3659,0.5993,0.7605,0.9293,0.0665,0.3443,0.1997,0.4471
0.0721,0.0415,0.5975,0.3749,0.9299,0.2851,0.9903,0.4867,0.4697
0.5191,0.1675,0.4629,0.1195,0.4523,0.0057,0.6511,0.3505,0.6945
0.5837,0.4417,0.6243,0.8177,0.2315,0.2351,0.5757,0.8897,0.0973
0.3269,0.3431,0.9105,0.5543,0.6401,0.3969,0.7353,0.3139,0.4329
0.5303,0.3285,0.8185,0.3187,0.3771,0.7453,0.5735,0.9563,0.4765
0.0227,0.0915,0.2351,0.3553,0.0835,0.3949,0.9709,0.0847,0.0423
0.3989,0.3697,0.0061,0.0781,0.4287,0.0993,0.6393,0.2951,0.0933
0.4207,0.1229,0.1707,0.4633,0.9821,0.0629,0.6765,0.9755,0.0221
0.2253,0.4485,0.2361,0.0801,0.5659,0.7467,0.9505,0.0091,0.1705
0.1695,0.1689,0.7369,0.6709,0.8803,0.9433,0.7419,0.6865,0.9555
0.8991,0.1719,0.7513,0.6393,0.9641,0.8497,0.3717,0.3111,0.1475
0.7121,0.7303,0.2591,0.4485,0.6123,0.0327,0.6957,0.7647,0.5779
0.4515,0.5879,0.2159,0.0015,0.9773,0.8015,0.9285,0.7983,0.6977
0.6207,0.7377,0.6947,0.9055,0.2423,0.7643,0.4307,0.6183,0.7969
0.9009,0.5829,0.5121,0.3165,0.0207,0.0289,0.0939,0.4889,0.3309
0.4133,0.7391,0.4579,0.2449,0.4015,0.9679,0.2569,0.4721,0.3619
0.2425,0.8847,0.6417,0.2979,0.8469,0.0417,0.4587,0.8205,0.0697
0.5675,0.0759,0.1407,0.0113,0.7333,0.5641,0.3009,0.1395,0.9685
0.5009,0.6895,0.1275,0.6429,0.5171,0.2593,0.0167,0.0057,0.1611
0.1375,0.6965,0.1715,0.7111,0.0103,0.6441,0.4965,0.3549,0.8561
0.2203,0.4849,0.3513,0.1007,0.2251,0.0279,0.1209,0.3833,0.8607
0.6301,0.2429,0.7537,0.7833,0.5465,0.7553,0.7055,0.8793,0.0721
0.2429,0.4893,0.2675,0.2831,0.9581,0.1325,0.4527,0.2125,0.1215
0.5743,0.3491,0.7293,0.2013,0.4117,0.1169,0.1087,0.1171,0.5441
0.3855,0.4501,0.5363,0.5257,0.6651,0.7853,0.4505,0.7257,0.1851
0.1571,0.5211,0.5633,0.5813,0.3997,0.0189,0.7821,0.5877,0.9599
0.7389,0.7869,0.8231,0.0805,0.4187,0.9303,0.5165,0.2181,0.4995
0.6147,0.8463,0.3015,0.4853,0.1915,0.5065,0.4001,0.3339,0.4111
0.9011,0.8575,0.4489,0.1095,0.4831,0.2027,0.3463,0.4451,0.0433
0.2779,0.5891,0.0861,0.0183,0.2163,0.5567,0.0855,0.2771,0.5737
0.2167,0.2665,0.0025,0.2555,0.2091,0.5255,0.4823,0.9697,0.2105
0.5819,0.3255,0.1313,0.6857,0.6021,0.1389,0.3385,0.7989,0.4935
0.6437,0.6301,0.3541,0.3899,0.0867,0.3065,0.7651,0.1973,0.1987
0.9251,0.5873,0.6241,0.3487,0.5497,0.0949,0.8799,0.0701,0.9629
0.8167,0.6627,0.4323,0.4719,0.7269,0.4815,0.2797,0.5659,0.1547
0.1797,0.1887,0.5289,0.9249,0.5525,0.8567,0.9977,0.0541,0.0235
0.8689,0.3649,0.5279,0.7217,0.1831,0.6429,0.1863,0.5281,0.6985
0.5443,0.7553,0.8159,0.0903,0.7659,0.7289,0.9859,0.8575,0.8737
0.6779,0.1485,0.5245,0.6919,0.8097,0.5741,0.9899,0.0343,0.6871
0.3961,0.5533,0.3995,0.5779,0.9741,0.3243,0.2047,0.7373,0.7555
0.3909,0.7077,0.9623,0.6899,0.4717,0.5389,0.9499,0.6275,0.3303
0.5919,0.3933,0.4921,0.9913,0.4827,0.2043,0.0947,0.3869,0.7283
0.9131,0.2915,0.8273,0.3503,0.5639,0.1347,0.6107,0.4919,0.2411
0.6467,0.7861,0.0097,0.6335,0.8225,0.7347,0.0997,0.8829,0.6843
0.8305,0.3827,0.5131,0.5845,0.3243,0.7151,0.6185,0.6297,0.9305
0.0395,0.0133,0.3883,0.3245,0.6273,0.6343,0.8909,0.4905,0.2893
0.8981,0.8695,0.1565,0.1121,0.3593,0.5827,0.9295,0.7619,0.4021
0.5279,0.5919,0.0645,0.7307,0.2295,0.8259,0.8593,0.1919,0.6271
0.8381,0.4933,0.2459,0.7539,0.0679,0.7777,0.5879,0.5303,0.7867
0.5925,0.7849,0.5637,0.1723,0.3399,0.6899,0.6187,0.1015,0.9485
0.0473,0.4491,0.3443,0.4913,0.4131,0.6481,0.0577,0.8471,0.2797
0.9461,0.2753,0.9903,0.6017,0.5825,0.1755,0.6253,0.7881,0.5769
0.8589,0.5225,0.5553,0.8357,0.9575,0.1529,0.0569,0.9107,0.3927
0.9775,0.4981,0.2455,0.1253,0.2899,0.2971,0.2001,0.3023,0.6571
0.4989,0.9773,0.1819,0.1123,0.5003,0.4539,0.4057,0.5701,0.5551
0.0189,0.5913,0.3797,0.3645,0.1279,0.2721,0.4003,0.9191,0.9961
0.7901,0.2019,0.4669,0.3003,0.6871,0.2993,0.6951,0.2659,0.5035
0.1045,0.1261,0.2167,0.4001,0.3133,0.3411,0.9469,0.3063,0.1363
0.4869,0.7173,0.2793,0.5961,0.7695,0.8613,0.7449,0.4365,0.1669
0.2355,0.9967,0.2035,0.5475,0.6419,0.9659,0.3267,0.0747,0.6333
0.8655,0.9511,0.1787,0.4859,0.5081,0.2311,0.2985,0.0985,0.4703
0.5711,0.7893,0.0027,0.2515,0.9213,0.9859,0.0601,0.0159,0.7547
0.8019,0.1073,0.3745,0.0987,0.0607,0.9811,0.5387,0.1635,0.8111
0.1771,0.4851,0.7423,0.4495,0.3723,0.6395,0.3319,0.0221,0.7355
0.0449,0.1681,0.3833,0.0927,0.9095,0.0457,0.9841,0.9477,0.3659
0.1715,0.4227,0.6127,0.1141,0.8183,0.1225,0.6919,0.3619,0.8369
0.5061,0.1309,0.8715,0.5981,0.7339,0.5207,0.0219,0.6555,0.4045
0.4423,0.4083,0.8979,0.3135,0.9453,0.3281,0.0251,0.5589,0.2695
0.1989,0.1263,0.4313,0.5951,0.6135,0.3231,0.3219,0.4113,0.2671
0.0851,0.9309,0.4207,0.2405,0.4967,0.6575,0.5255,0.3893,0.6135
0.1073,0.3403,0.2139,0.9335,0.8451,0.1439,0.9653,0.8149,0.9727
0.8001,0.1933,0.8637,0.5361,0.6755,0.2641,0.2733,0.0309,0.7661
0.4921,0.5045,0.0665,0.7951,0.3899,0.5745,0.2877,0.3761,0.4767
0.6861,0.4867,0.0257,0.4651,0.9567,0.1803,0.1853,0.5663,0.9707
0.8971,0.2313,0.0693,0.7671,0.5669,0.3967,0.8613,0.6767,0.6221
0.9809,0.6075,0.9993,0.2635,0.8527,0.8729,0.2669,0.4685,0.6457
0.6671,0.1355,0.6493,0.4313,0.8779,0.8189,0.6597,0.3449,0.6841
0.6483,0.2995,0.8481,0.6131,0.1457,0.6661,0.6999,0.7549,0.2189
0.6801,0.1013,0.4445,0.9501,0.0543,0.0249,0.4895,0.5155,0.7107
0.7613,0.8977,0.2241,0.5905,0.8625,0.8933,0.5847,0.1169,0.1543
0.6243,0.3765,0.4609,0.1769,0.6883,0.5575,0.1011,0.6567,0.4787
0.7857,0.8207,0.1999,0.1473,0.8601,0.9127,0.3817,0.7445,0.8789
0.4947,0.3029,0.0625,0.4267,0.5891,0.4965,0.3653,0.8113,0.7429
0.6881,0.5171,0.7269,0.5711,0.7905,0.3935,0.1193,0.1077,0.2491
0.2341,0.5043,0.2185,5e-04,0.0149,0.4975,0.0663,0.9207,0.5239
0.9647,0.2059,0.3093,0.2553,0.3669,0.0267,0.5729,0.2839,0.9963
0.7987,0.1271,0.1069,0.8283,0.2691,0.9767,0.3097,0.1769,0.0229
0.3563,0.9409,0.5219,0.4305,0.0347,0.2639,0.9199,0.1487,0.9789
0.9327,0.0787,0.0727,0.0695,0.0093,0.2661,0.3169,0.1247,0.6563
0.1541,0.3873,0.0933,0.1401,0.3951,0.0739,0.2425,0.4323,0.5025
0.1325,0.9739,0.5831,0.9967,0.9899,0.8953,0.0889,0.0941,0.0925
0.9437,0.3803,0.3675,0.0379,0.0239,0.3543,0.2983,0.4727,0.5581
0.2427,0.7253,0.2785,0.9577,0.2777,0.3289,0.5989,0.2783,0.4905
0.5545,0.3711,0.7539,0.7827,0.5113,0.2267,0.6789,0.9333,0.4993
0.8779,0.0065,0.6295,0.1201,0.6499,0.4205,0.7091,0.0965,0.5969
0.2725,0.8353,0.1073,0.1539,0.6873,0.3459,0.7315,0.9889,0.4229
0.2977,0.1127,0.9889,0.4091,0.4921,0.0579,0.9593,0.0373,0.1827
0.5841,0.2275,0.3639,0.2189,0.4595,0.6957,0.8695,0.8337,0.8709
0.4781,0.8425,0.4615,0.5649,0.9547,0.2853,0.9729,0.2735,0.1881
0.7255,0.4221,0.4443,0.9993,0.3273,0.7931,0.1995,0.8515,0.5651
0.1061,0.9703,0.2027,0.5531,0.1117,0.3011,0.9367,0.1271,0.7045
0.9345,0.1205,0.0379,0.3889,0.4643,0.8503,0.0713,0.9505,0.5801
0.5829,0.0665,0.0835,0.9809,0.4387,0.9725,0.4279,0.1949,0.7327
0.9399,0.0953,0.6613,0.5435,0.2653,0.1239,0.7611,0.0337,0.6911
0.2033,0.6311,0.2577,0.9337,0.2679,0.2885,0.2721,0.6365,0.7173
0.0251,0.6665,0.4589,0.8437,0.2995,0.5973,0.4775,0.3897,0.6125
0.4015,0.4251,0.1531,0.5311,0.3543,0.2029,0.3875,0.4509,0.6993
0.6217,0.6369,0.3559,0.9101,0.5965,0.6267,0.2941,0.2891,0.6861
0.3765,0.1211,0.5583,0.7065,0.5681,0.5105,0.3285,0.3487,0.3247
0.0521,0.4581,0.4667,0.5333,0.3949,0.9013,0.3969,0.4029,0.2225
0.9441,0.1399,0.9743,0.3991,0.3789,0.2967,0.6981,0.7543,0.5183
0.7665,0.7999,0.5037,0.3133,0.3373,0.5431,0.7679,0.7797,0.6817
0.1625,0.9239,0.7923,0.8981,0.4823,0.5391,0.4875,0.0467,0.4163
0.0733,0.3279,0.8095,0.9239,0.4307,0.2283,0.4255,0.6221,0.3497
0.2657,0.2629,0.8387,0.9001,0.4613,0.7309,0.6093,0.6799,0.5129
0.3975,0.9491,0.7283,0.8653,0.1947,0.1139,0.4031,0.7567,0.2365
0.0527,0.0449,0.6875,0.9781,0.9853,0.3147,0.8957,0.4221,0.7897
0.3813,0.8849,0.7011,0.5643,0.0881,0.4071,0.1161,0.8299,0.2825
0.1033,0.2843,0.0115,0.0753,0.6705,0.1671,0.6813,0.9589,0.3041
0.8941,0.5393,0.8195,0.3687,0.9863,0.5129,0.6063,0.9147,0.2881
0.9269,0.6935,0.4019,0.4115,0.8521,0.8819,0.4915,0.4557,0.9889
0.6933,0.1649,0.0897,0.7737,0.6305,0.6989,0.0671,0.2139,0.8631
0.3141,0.0135,0.4557,0.8777,0.9145,0.5799,0.9489,0.6477,0.6505
0.5153,0.7751,0.3119,0.8685,0.0369,0.1399,0.5349,0.1597,0.5979
0.5143,0.0923,0.0929,0.8361,0.1783,0.4085,0.8097,0.0165,0.2223
0.7793,0.3685,0.9861,0.6923,0.7201,0.6161,0.9213,0.8767,0.9985
0.4707,0.8689,0.8629,0.0197,0.8259,0.1263,0.2777,0.8679,0.6893
0.8377,0.3589,0.2163,0.4157,0.8677,0.4469,0.5101,0.6835,0.5339
0.8289,0.6475,0.2883,0.5563,0.7087,0.1103,0.4801,0.1287,0.1465
0.1441,0.0291,0.2739,0.5719,0.5881,0.9879,0.1113,0.7829,0.9225
0.6701,0.3091,0.4459,0.3737,0.9535,0.5463,0.6987,0.3371,0.8785
0.5631,0.7241,0.5793,0.6469,0.4929,0.8373,0.2035,0.8961,0.9415
0.3793,0.5963,0.2965,0.1859,0.8343,0.3737,0.4125,0.5609,0.1829
0.3593,0.4171,0.0877,0.1999,0.3093,0.0697,0.9371,0.0879,0.3801
0.4243,0.6131,0.2761,0.7267,0.8513,0.9593,0.2511,0.7531,0.8085
0.7315,0.5737,0.7401,0.9223,0.4091,0.2271,0.7363,0.5151,0.9793
0.7667,0.1549,0.7603,0.9761,0.6775,0.6211,0.0811,0.5829,0.1401
0.0627,0.0171,0.9385,0.1367,0.0567,0.2833,0.9483,0.4203,0.9187
0.0271,0.2717,0.5743,0.2023,0.8245,0.4529,0.2567,0.7683,0.2887
0.6549,0.3261,0.5893,0.3315,0.3623,0.7863,0.4015,0.8551,0.1643
0.3671,0.6251,0.9809,0.8959,0.9153,0.6445,0.3713,0.9467,0.0669
0.5991,0.8801,0.4205,0.0149,0.8643,0.8093,0.8251,0.0073,0.2013
