"V1","V2","V3","V4","V5","V6","V7","V8","V9"
0.25,0.162,0.838,0.21,0.966,0.362,0.85,0.15,0.33
0.514,0.298,0.678,0.55,0.134,0.826,0.514,0.518,0.774
0.53,0.042,0.702,0.166,0.35,0.51,0.238,0.294,0.866
0.166,0.598,0.226,0.618,0.158,0.418,0.594,0.286,0.67
0.234,0.994,0.17,0.19,0.542,0.002,0.322,0.602,0.134
0.618,0.282,0.894,0.838,0.766,0.89,0.37,0.682,0.178
0.89,0.602,0.866,0.278,0.846,0.542,0.714,0.45,0.146
0.378,0.922,0.746,0.906,0.426,0.666,0.678,0.478,0.538
0.65,0.782,0.29,0.002,0.486,0.45,0.498,0.354,0.106
0.154,0.074,0.766,0.946,0.314,0.338,0.394,0.022,0.058
0.026,0.21,0.862,0.182,0.338,0.054,0.002,0.614,0.898
0.898,0.726,0.13,0.126,0.954,0.678,0.234,0.866,0.734
0.798,0.374,0.09,0.942,0.826,0.186,0.442,0.722,0.686
0.778,0.89,0.378,0.438,0.69,0.178,0.122,0.994,0.674
0.326,0.174,0.314,0.57,0.658,0.298,0.194,0.506,0.45
0.198,0.846,0.666,0.93,0.722,0.866,0.906,0.942,0.946
0.03,0.246,0.07,0.39,0.922,0.21,0.598,0.79,0.126
0.958,0.938,0.782,0.714,0.71,0.154,0.458,0.982,0.574
0.374,0.462,0.078,0.554,0.87,0.914,0.866,0.514,0.666
0.078,0.882,0.298,0.362,0.09,0.682,0.454,0.802,0.714
0.918,0.842,0.41,0.59,0.55,0.162,0.634,0.254,0.406
0.67,0.442,0.834,0.586,0.742,0.71,0.03,0.338,0.038
0.886,0.278,0.334,0.782,0.854,0.37,0.65,0.086,0.586
0.082,0.562,0.27,0.506,0.662,0.83,0.242,0.39,0.606
0.35,0.022,0.514,0.29,0.046,0.822,0.314,0.846,0.85
0.766,0.522,0.726,0.738,0.274,0.314,0.67,0.302,0.706
0.086,0.402,0.234,0.994,0.066,0.91,0.494,0.358,0.474
0.858,0.554,0.206,0.11,0.006,0.462,0.474,0.738,0.922
0.894,0.498,0.438,0.25,0.162,0.206,0.69,0.194,0.642
0.042,0.514,0.01,0.87,0.974,0.598,0.29,0.078,0.562
0.31,0.254,0.674,0.262,0.254,0.366,0.346,0.006,0.654
0.438,0.002,0.342,0.806,0.494,0.554,0.006,0.382,0.974
0.69,0.018,0.966,0.034,0.526,0.026,0.702,0.058,0.682
0.202,0.334,0.486,0.666,0.85,0.018,0.87,0.974,0.53
0.246,0.094,0.23,0.422,0.59,0.102,0.922,0.462,0.414
0.994,0.062,0.018,0.186,0.482,0.69,0.874,0.386,0.19
0.854,0.286,0.106,0.922,0.882,0.614,0.626,0.226,0.782
0.658,0.798,0.482,0.054,0.586,0.898,0.998,0.61,0.454
0.474,0.55,0.366,0.306,0.234,0.878,0.11,0.402,0.798
0.61,0.206,0.15,0.374,0.926,0.242,0.09,0.126,0.446
0.146,0.158,0.114,0.386,0.534,0.142,0.886,0.686,0.742
0.206,0.026,0.238,0.662,0.998,0.042,0.846,0.826,0.122
0.922,0.166,0.49,0.346,0.754,0.022,0.938,0.818,0.374
0.466,0.518,0.242,0.562,0.082,0.698,0.47,0.658,0.278
0.13,0.702,0.914,0.758,0.778,0.23,0.642,0.698,0.87
0.59,0.93,0.562,0.342,0.238,0.342,0.118,0.546,0.554
0.846,0.874,0.422,0.086,0.634,0.41,0.558,0.886,0.018
0.254,0.77,0.442,0.774,0.574,0.17,0.902,0.51,0.258
0.286,0.294,0.802,0.97,0.562,0.918,0.266,0.454,0.182
0.73,0.65,0.218,0.978,0.822,0.574,0.562,0.75,0.718
0.558,0.526,0.466,0.354,0.558,0.166,0.378,0.758,0.994
0.07,0.318,0.434,0.546,0.942,0.402,0.566,0.65,0.886
0.802,0.594,0.774,0.298,0.478,0.702,0.058,0.726,0.622
0.534,0.61,0.346,0.926,0.258,0.134,0.406,0.062,0.514
0.434,0.69,0.162,0.582,0.394,0.938,0.142,0.378,0.158
0.822,0.506,0.694,0.91,0.814,0.074,0.546,0.998,0.402
0.054,0.186,0.69,0.478,0.406,0.578,0.374,0.966,0.046
0.29,0.878,0.286,0.694,0.898,0.85,0.862,0.366,0.71
0.398,0.322,0.958,0.63,0.47,0.646,0.262,0.19,0.002
0.238,0.834,0.118,0.014,0.594,0.158,0.914,0.318,0.03
0.722,0.642,0.03,0.734,0.706,0.246,0.382,0.186,0.97
0.574,0.906,0.582,0.282,0.054,0.75,0.758,0.838,0.582
0.654,0.05,0.61,0.414,0.774,0.602,0.418,0.93,0.198
0.122,0.606,0.458,0.53,0.806,0.374,0.186,0.922,0.434
0.806,0.47,0.414,0.274,0.538,0.958,0.13,0.166,0.55
0.046,0.638,0.198,0.13,0.07,0.378,0.55,0.234,0.978
0.49,0.35,0.042,0.67,0.578,0.65,0.274,0.374,0.802
0.342,0.934,0.122,0.178,0.462,0.642,0.658,0.73,0.17
0.99,0.214,0.71,0.558,0.73,0.97,0.982,0.694,0.39
0.638,0.082,0.738,0.974,0.866,0.93,0.43,0.934,0.91
0.566,0.918,0.166,0.114,0.834,0.95,0.986,0.638,0.566
0.43,0.966,0.394,0.918,0.038,0.434,0.482,0.49,0.15
0.882,0.138,0.494,0.622,0.326,0.61,0.15,0.114,0.346
0.318,0.662,0.67,0.442,0.398,0.318,0.77,0.894,0.162
0.17,0.25,0.462,0.846,0.902,0.266,0.034,0.466,0.578
0.022,0.346,0.546,0.798,0.278,0.838,0.842,0.678,0.962
0.962,0.37,0.174,0.474,0.602,0.59,0.926,0.662,0.69
0.578,0.95,0.554,0.494,0.41,0.474,0.438,0.118,0.13
0.182,0.706,0.326,0.614,0.642,0.398,0.27,0.502,0.854
0.158,0.306,0.354,0.742,0.174,0.714,0.974,0.97,0.57
0.358,0.83,0.754,0.69,0.794,0.758,0.742,0.21,0.082
0.714,0.102,0.95,0.214,0.19,0.15,0.774,0.854,0.894
0.782,0.19,0.474,0.206,0.874,0.214,0.79,0.158,0.534
0.978,0.238,0.574,0.79,0.122,0.546,0.166,0.05,0.37
0.174,0.734,0.058,0.35,0.75,0.446,0.646,0.834,0.378
0.298,0.698,0.034,0.078,0.79,0.81,0.766,0.43,0.234
0.874,0.426,0.594,0.062,0.566,0.818,0.734,0.606,0.282
0.462,0.546,0.778,0.874,0.734,0.382,0.654,0.474,0.806
0.058,0.386,0.658,0.818,0.666,0.994,0.618,0.458,0.086
0.542,0.422,0.478,0.49,0.838,0.522,0.894,0.154,0.254
0.902,0.81,0.818,0.538,0.098,0.834,0.206,0.554,0.386
0.866,0.31,0.222,0.146,0.606,0.982,0.074,0.666,0.702
0.842,0.07,0.002,0.294,0.422,0.606,0.478,0.798,0.426
0.97,0.398,0.718,0.23,0.762,0.514,0.754,0.414,0.066
0.702,0.622,0.858,0.498,0.022,0.934,0.674,0.406,0.842
0.322,0.87,0.814,0.286,0.286,0.638,0.082,0.274,0.626
0.966,0.774,0.194,0.042,0.382,0.394,0.638,0.218,0.966
0.454,0.054,0.134,0.426,0.222,0.874,0.746,0.958,0.314
0.498,0.314,0.318,0.366,0.646,0.262,0.21,0.01,0.678
0.686,0.854,0.306,0.154,0.614,0.254,0.578,0.578,0.502
0.622,0.466,0.278,0.202,0.638,0.126,0.202,0.63,0.318
0.598,0.998,0.37,0.762,0.402,0.03,0.682,0.59,0.274
0.21,0.738,0.146,0.526,0.95,0.73,0.882,0.654,0.478
0.862,0.646,0.65,0.814,0.33,0.198,0.858,0.494,0.482
0.214,0.746,0.362,0.15,0.862,0.27,0.694,0.25,0.298
0.218,0.558,0.89,0.898,0.318,0.962,0.106,0.754,0.846
0.87,0.618,0.178,0.834,0.758,0.634,0.97,0.138,0.65
0.39,0.302,0.274,0.194,0.018,0.226,0.898,0.394,0.906
0.746,0.954,0.338,0.626,0.674,0.498,0.818,0.918,0.486
0.698,0.338,0.938,0.534,0.618,0.01,0.502,0.906,0.758
0.222,0.01,0.638,0.234,0.25,0.086,0.114,0.718,0.95
0.586,0.066,0.81,0.73,0.686,0.386,0.614,0.598,0.342
0.062,0.778,0.538,0.358,0.374,0.19,0.182,0.422,0.726
0.294,0.45,0.85,0.454,0.918,0.842,0.95,0.178,0.77
0.582,0.13,0.698,0.046,0.63,0.33,0.806,0.27,0.034
0.85,0.058,0.138,0.058,0.698,0.658,0.214,0.342,0.166
0.626,0.194,0.386,0.722,0.858,0.774,0.918,0.594,0.202
0.938,0.858,0.578,0.698,0.946,0.974,0.338,0.766,0.99
0.334,0.434,0.874,0.118,0.702,0.706,0.362,0.762,0.75
0.786,0.118,0.454,0.594,0.366,0.902,0.602,0.362,0.362
0.266,0.862,0.262,0.954,0.194,0.626,0.726,0.538,0.542
0.818,0.666,0.794,0.958,0.418,0.854,0.506,0.03,0.422
0.674,0.914,0.886,0.27,0.106,0.738,0.226,0.442,0.658
0.05,0.482,0.97,0.866,0.078,0.046,0.33,0.238,0.394
0.494,0.454,0.006,0.514,0.582,0.586,0.178,0.034,0.594
0.63,0.586,0.35,0.482,0.554,0.942,0.126,0.746,0.942
0.834,0.946,0.51,0.686,0.934,0.63,0.306,0.446,0.118
0.79,0.226,0.79,0.222,0.522,0.078,0.838,0.018,0.83
0.114,0.978,0.054,0.47,0.738,0.622,0.59,0.434,0.186
0.986,0.806,0.302,0.258,0.626,0.726,0.342,0.582,0.238
